Epoch: 0
  0%|          | 0/4000 [00:00<?, ?it/s]
Loss: 0.14425431191921234, Accuracy: 1.0
Loss: 5.0692548751831055, Accuracy: 0.0
Loss: 0.532457709312439, Accuracy: 0.5
Loss: 4.038149833679199, Accuracy: 0.0
Loss: 2.132533073425293, Accuracy: 0.5
Loss: 2.4529690742492676, Accuracy: 0.5
Loss: 2.9821112155914307, Accuracy: 0.5
Loss: 0.0018477042904123664, Accuracy: 1.0
Loss: 2.5532901287078857, Accuracy: 0.5
Loss: 2.7562522888183594, Accuracy: 0.5
Loss: 0.271149218082428, Accuracy: 1.0
Loss: 3.8520708084106445, Accuracy: 0.0
Loss: 0.00031642522662878036, Accuracy: 1.0
Loss: 4.534239768981934, Accuracy: 0.5
Loss: 0.00015597186575178057, Accuracy: 1.0
Loss: 3.6827914714813232, Accuracy: 0.0
Loss: 5.574250221252441, Accuracy: 0.0
Loss: 5.465003967285156, Accuracy: 0.0
Loss: 2.6336472034454346, Accuracy: 0.5
Loss: 1.8734703063964844, Accuracy: 0.5
Loss: 1.864617109298706, Accuracy: 1.0
Loss: 0.9189341068267822, Accuracy: 1.0
Loss: 3.602799415588379, Accuracy: 0.0
Loss: 3.4190139770507812, Accuracy: 0.5
Loss: 2.5621325969696045, Accuracy: 0.0
Loss: 3.0208089351654053, Accuracy: 0.5
Loss: 3.2393245697021484, Accuracy: 0.0
Loss: 1.9737417697906494, Accuracy: 0.5
Loss: 1.8308007717132568, Accuracy: 0.5
Loss: 1.3879514932632446, Accuracy: 1.0
Loss: 1.413437843322754, Accuracy: 1.0
Loss: 3.1429944038391113, Accuracy: 0.5
Loss: 2.180577516555786, Accuracy: 0.5
Loss: 2.5940191745758057, Accuracy: 0.5
Loss: 3.032928466796875, Accuracy: 0.0
Loss: 1.996244192123413, Accuracy: 0.5
Loss: 2.3022429943084717, Accuracy: 0.5
Loss: 2.3859338760375977, Accuracy: 0.5
Loss: 3.831143379211426, Accuracy: 0.0
Loss: 1.5422121286392212, Accuracy: 0.5
Loss: 1.6974989175796509, Accuracy: 0.5
Loss: 0.8985077142715454, Accuracy: 1.0
Loss: 3.237234592437744, Accuracy: 0.0
Loss: 3.2264914512634277, Accuracy: 0.0
Loss: 2.9190080165863037, Accuracy: 0.5
Loss: 3.3270153999328613, Accuracy: 0.5
Loss: 1.402825117111206, Accuracy: 0.5
Loss: 2.105888843536377, Accuracy: 0.5
Loss: 1.2518644332885742, Accuracy: 0.5
Loss: 0.5785092711448669, Accuracy: 1.0
Loss: 0.40263670682907104, Accuracy: 1.0
Loss: 3.08419132232666, Accuracy: 0.0
Loss: 1.0625301599502563, Accuracy: 0.5
Loss: 2.7249650955200195, Accuracy: 0.5
Loss: 4.3540940284729, Accuracy: 0.0
Loss: 1.8963979482650757, Accuracy: 0.0
Loss: 3.0044920444488525, Accuracy: 0.5
Loss: 4.9079084396362305, Accuracy: 0.0
Loss: 4.080494403839111, Accuracy: 0.5
Loss: 2.29644513130188, Accuracy: 0.0
Loss: 2.1195712089538574, Accuracy: 0.5
Loss: 2.1914777755737305, Accuracy: 0.5
Loss: 4.346309661865234, Accuracy: 0.0
Loss: 1.562249779701233, Accuracy: 0.5
Loss: 3.2849249839782715, Accuracy: 0.0
Loss: 3.282689094543457, Accuracy: 0.0
Loss: 3.045825481414795, Accuracy: 0.5
Loss: 2.4874212741851807, Accuracy: 0.5
Loss: 1.7255175113677979, Accuracy: 0.5
Loss: 0.40095794200897217, Accuracy: 1.0
Loss: 2.6103668212890625, Accuracy: 0.0
Loss: 1.957787036895752, Accuracy: 0.5
Loss: 0.7122200727462769, Accuracy: 1.0
Loss: 0.7140839099884033, Accuracy: 1.0
Loss: 0.7583976984024048, Accuracy: 1.0
C:\Users\Prof.RaajRamsankaran\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\Image.py:3167: DecompressionBombWarning: Image size (110124036 pixels) exceeds limit of 89478485 pixels, could be decompression bomb DOS attack.
  warnings.warn(
Loss: 4.6764421463012695, Accuracy: 0.0
Loss: 2.7089457511901855, Accuracy: 0.5
Loss: 1.0149723291397095, Accuracy: 1.0
Loss: 2.1311609745025635, Accuracy: 0.5
Loss: 2.055591583251953, Accuracy: 0.5
Loss: 2.714002847671509, Accuracy: 0.5
Loss: 1.19081711769104, Accuracy: 0.5
Loss: 1.4386062622070312, Accuracy: 0.5
Loss: 1.310511827468872, Accuracy: 0.5
Loss: 3.322690725326538, Accuracy: 0.5
Loss: 2.102222442626953, Accuracy: 0.0
Loss: 2.46012020111084, Accuracy: 0.5
Loss: 0.4693608582019806, Accuracy: 1.0
Loss: 2.688357353210449, Accuracy: 0.5
Loss: 0.8310196399688721, Accuracy: 1.0
Loss: 0.4278728663921356, Accuracy: 1.0
Loss: 3.399440050125122, Accuracy: 0.0
Loss: 2.1536648273468018, Accuracy: 0.0
Loss: 1.9167457818984985, Accuracy: 0.5
Loss: 0.2456379234790802, Accuracy: 1.0
Loss: 4.102473258972168, Accuracy: 0.0
Loss: 3.2301089763641357, Accuracy: 0.0
Loss: 4.114596366882324, Accuracy: 0.0
Loss: 3.0629258155822754, Accuracy: 0.5
Loss: 2.2958641052246094, Accuracy: 0.0
Loss: 1.2858030796051025, Accuracy: 1.0
Loss: 2.0818254947662354, Accuracy: 0.5
Loss: 1.2780698537826538, Accuracy: 1.0
Loss: 3.090829610824585, Accuracy: 0.5
Loss: 1.5309655666351318, Accuracy: 0.5
Loss: 2.722695827484131, Accuracy: 0.5
Loss: 0.3019566237926483, Accuracy: 1.0
Loss: 0.5966163873672485, Accuracy: 0.5
Loss: 2.1693437099456787, Accuracy: 0.5
Loss: 1.2680248022079468, Accuracy: 0.5
Loss: 0.960956335067749, Accuracy: 1.0
Loss: 1.6223704814910889, Accuracy: 0.5
Loss: 1.4552249908447266, Accuracy: 0.5
Loss: 1.1833257675170898, Accuracy: 0.5
Loss: 1.8308255672454834, Accuracy: 0.5
Loss: 2.610081672668457, Accuracy: 0.5
Loss: 3.773458242416382, Accuracy: 0.0
Loss: 1.413082480430603, Accuracy: 0.5
Loss: 3.916822671890259, Accuracy: 0.0
Loss: 0.0815359428524971, Accuracy: 1.0
Loss: 2.231602430343628, Accuracy: 0.5
Loss: 2.9342174530029297, Accuracy: 0.0
Loss: 0.17982526123523712, Accuracy: 1.0
Loss: 2.0544114112854004, Accuracy: 0.5
Loss: 1.52738356590271, Accuracy: 0.5
Loss: 2.2223150730133057, Accuracy: 0.5
Loss: 3.4321134090423584, Accuracy: 0.0
Loss: 1.305501103401184, Accuracy: 0.5
Loss: 2.0816774368286133, Accuracy: 0.5
Loss: 2.1862845420837402, Accuracy: 0.5
Loss: 1.9932656288146973, Accuracy: 0.5
Loss: 1.1081236600875854, Accuracy: 1.0
Loss: 2.3521711826324463, Accuracy: 0.5
Loss: 1.5208523273468018, Accuracy: 0.5
Loss: 4.230784893035889, Accuracy: 0.0
Loss: 3.900092124938965, Accuracy: 0.5
Loss: 4.341899394989014, Accuracy: 0.0
Loss: 4.024178981781006, Accuracy: 0.0
Loss: 1.4285472631454468, Accuracy: 0.5
Loss: 2.194251537322998, Accuracy: 0.5
Loss: 1.8516345024108887, Accuracy: 0.5
Loss: 2.9547691345214844, Accuracy: 0.5
Loss: 2.956238269805908, Accuracy: 0.0
Loss: 1.8495466709136963, Accuracy: 0.5
Loss: 1.6261862516403198, Accuracy: 0.5
Loss: 2.7779717445373535, Accuracy: 0.5
Loss: 1.529582142829895, Accuracy: 1.0
Loss: 1.6615939140319824, Accuracy: 0.5
